name,price,volume
Cave eel,143,1
Caviar,159,7112
Celastrus sapling,83545,5198
Celastrus seed,82015,4884
Chaos rune,74,112842456
Chaos talisman,125,7769
Chaos tiara,19,457
Charge dragonstone jewellery scroll,309,8715
Cheese+tom batta,1498,432
Chef's delight,25469,1
Chef's delight(m4),193013,0
Chef's delight(m),61392,164
Chilli con carne,34,0
Chilli potato,208,5309
Chinchompa,935,298368
Chisel,43,22585
Choc saturday,37,54
Chocchip crunchies,1243,144
Chocolate bar,25,464885
Chocolate cake,199,58924
Chocolate dust,39,270590
Chopped tomato,36,0
Chopped tuna,205,64
Chopped ugthanki,9,0
Cider(4),7994,2
Cider(m4),76036,0
Citizen top,597,26
Citizen trousers,632,2
Cleaning cloth,251,173
Climbing boots,607,25641
Clockwork,599,179194
Coal,155,57886638
Cocktail guide,154,13
Cocktail shaker,34,173
Cod,11,51061
Coif,34,36282
Combat bracelet,12247,274431
Combat mix(1),306,0
Combat mix(2),410,775
Combat potion set,991,223
Combat potion(3),289,47266
Combat potion(4),451,119972
Common kebbit fur,750,133
Comp ogre bow,1166,327
Compost potion(1),52,14
Compost potion(2),157,101
Compost potion(4),133,6810
Cooked chicken,75,10040
Cooked chompy,47,425
Cooked jubbly,611,63
Cooked meat,75,25851
Cooked mystery meat,241,2024
Cooked slimy eel,223,30
Cooked sweetcorn,302,29321
Cosmic rune,166,41958700
Cosmic talisman,186,4902
Cosmic tiara,35,635
Cream boots,591,181
Cream hat,822,1322
Cream robe bottoms,166,6
Cream robe top,736,177
Crier hat,2714,123
Crossbow,233,532
Crossbow string,235,5714
Crunchy tray,182,1551
Crushed superior dragon bones,11299,74493
Crystal armour seed,8187559,5251
Crystal tool seed,7675169,344
Crystal weapon seed,309037,4020
Cup of hot water,436,8953
Cured yak-hide,498,315
Curry,694,34561
Cyclops head,12335,106
Dagannoth bones,9027,131711
Dagannoth hide,202,1471
Dagon'hai robe top,3313489,190
Dagon'hai robes set,6723642,104
Damaged monkey tail,89,17193
Dark bow,502252,1616
Dark cavalier,3614,147
